,,Tmin,Rainfall,RH,Solar,Wind,Tmax,Discharge
3585,17,11.1,0,0.38,15.07,4.27,31.1,153
3586,18,14.4,0,0.21,15.57,4.1,32.2,152.7
3587,19,16.7,0,0.33,13.62,3.21,33.3,150.2
3588,20,14.4,0,0.43,14.91,3.71,31.1,149.9
3589,21,15.6,0,0.4,15.11,4.62,32.2,147.4
3590,22,14.4,0,0.26,15.39,4.21,31.1,147.4
3591,23,14.4,0,0.34,15.16,4.22,30,147.4
3592,24,14.4,0,0.35,15.27,5.07,28.9,147.1
3593,25,13.9,0,0.32,15.14,3.66,30,144.5
3594,26,13.3,0,0.32,14.67,3.89,28.9,144.5
3595,27,12.2,0,0.33,14.74,3.94,27.8,144.2
3596,28,13.3,0,0.38,14.84,4.66,26.7,141.7
3597,29,12.8,0,0.58,14.72,5.08,30,141.7
3598,30,14.4,0,0.6,14.36,3.89,28.9,141.7
3599,31,13.9,0,0.61,14.41,4.79,26.7,141.7
3600,1,15.6,0,0.56,14.6,4.75,26.7,141.7
3601,2,15,0,0.53,12.73,3.71,26.7,141.7
3602,3,15.6,0,0.6,14.56,4.73,27.2,141.4
3603,4,15,0,0.61,14.44,4.34,27.8,138.9
3604,5,14.4,0,0.61,14.15,4.16,26.7,138.9
3605,6,13.9,0,0.57,14.02,4.67,25.6,138.9
3606,7,13.3,0,0.57,13.8,4.11,26.1,138.9
3607,8,12.8,0,0.55,11.57,3.31,27.8,138.9
3608,9,12.2,0,0.62,9.05,3.29,25.6,137.2
3609,10,10,0,0.57,13.86,4.28,27.8,136
3610,11,10.6,0,0.4,14.6,5.58,28.3,136
3611,12,11.1,0,0.42,14.66,5.65,25.6,136
3612,13,10.6,0,0.46,14.57,5.49,20,136
3613,14,10,2.5,0.46,14.52,5.22,21.1,134.3
3614,15,6.7,0,0.44,14.38,4.53,24.4,132.9
3615,16,7.2,0,0.45,14.32,4.51,26.7,130.4
3616,17,8.9,0,0.38,14.42,4.83,27.2,130.4
3617,18,10,0,0.44,14.42,4.57,22.8,130.4
3618,19,8.9,0,0.37,14.54,4.39,24.4,130.4
3619,20,7.8,0,0.4,14.17,4.27,23.3,127.8
3620,21,8.9,0,0.36,14.43,5.15,25.6,124.7
3621,22,11.1,0,0.5,14.37,3.82,23.3,124.7
3622,23,12.2,0,0.7,0.03,2.82,21.1,124.7
3623,24,10,0,0.81,2.55,2.17,25.6,124.7
3624,25,7.8,0,0.59,14.12,4.28,24.4,124.7
3625,26,7.8,0,0.51,14.55,3.72,23.3,124.4
3626,27,11.1,0,0.56,13.84,4.57,20,121.9
3627,28,5.6,0,0.41,14.84,4.22,16.7,121.6
3628,29,4.4,0,0.49,12.84,4.19,20,119
3629,30,4.4,0,0.45,14.8,3.93,22.2,119
3630,1,5,0,0.51,14.63,4.13,18.9,119
3631,2,3.3,0,0.43,15.11,4.23,20.6,119
3632,3,3.9,0,0.37,15.13,4.07,21.7,119
3633,4,2.8,0,0.43,15.07,4.3,23.3,119
3634,5,4.4,0,0.6,6.64,3.4,24.4,118.7
3635,6,5,0,0.48,14.99,4.5,23.9,116.2
3636,7,3.9,0,0.26,15.65,4.77,22.8,116.2
3637,8,4.4,0,0.31,15.61,4.63,23.3,116.5
3638,9,5.6,0,0.21,15.68,4.3,22.8,110.2
3639,10,4.4,0,0.25,13.1,3.55,22.2,107.4
3640,11,4.4,0,0.24,15.54,4.27,19.4,104.6
3641,12,4.4,0,0.24,15.6,4.31,21.1,102
3642,13,5,0,0.19,15.99,4.08,22.8,102
3643,14,4.4,0,0.31,15.82,3.15,21.7,102
3644,15,5.6,0,0.64,8.29,2.81,23.3,102
3645,16,5.6,0,0.41,15.59,3.78,20,102
3646,17,8.9,0,0.28,16.49,3.72,15.6,102
3647,18,6.7,0,0.24,16.55,3.91,20,102
3648,19,5.6,0,0.19,16.7,4.29,22.2,102
3649,20,4.4,0,0.18,17.02,4.56,20,102
3650,21,4.4,0,0.18,17.03,4.12,25.6,102
3651,22,4.4,0,0.34,16.56,4.44,23.3,102
3652,23,4.4,0,0.39,16.46,3.84,21.1,102
3653,24,3.3,0,0.35,16.72,3.97,22.2,102
3654,25,5.6,0,0.22,17.46,3.89,21.1,101.7
3655,26,4.4,0,0.23,17.92,5,23.3,99.2
3656,27,3.3,0,0.19,17.96,4.24,20,99.2
3657,28,2.8,0,0.22,17.92,4.17,19.4,99.2
3658,29,2.8,0,0.23,18.1,4.67,18.9,99.2
3659,30,3.3,0,0.2,18.08,4.2,21.7,99.2
3660,31,3.3,0,0.21,18.36,4.44,16.7,99.2
3661,1,6.1,0,0.28,18.52,4.79,16.1,98.9
3662,2,8.3,1.5,0.16,18.66,4.13,15.6,96.4
3663,3,4.4,0,0.15,19.07,4.43,18.9,96.4
3664,4,4.4,0,0.18,19.08,4.35,19.4,96.4
3665,5,2.8,0,0.23,18.92,4.75,20,96.4
3666,6,2.8,0,0.38,16.04,4.71,21.1,96.4
3667,7,2.2,0,0.62,12.36,4.58,17.2,96.4
3668,8,2.8,0,0.42,18.78,4.25,18.9,96.4
3669,9,2.2,0,0.38,15.2,3.89,18.9,96.4
3670,10,2.8,0,0.49,18.27,3.97,20,96.4
3671,11,1.7,0,0.36,19.61,4.75,21.1,96.4
3672,12,2.8,0,0.29,20.1,4.57,21.7,96.4
3673,13,3.3,0,0.45,18.79,3.69,15.6,96.4
3674,14,2.2,0,0.62,18.89,3.98,18.9,96.1
3675,15,3.3,0,0.43,19.89,4.06,22.2,93.5
3676,16,2.8,0,0.46,19.79,3.34,21.1,93.5
3677,17,4.4,0,0.42,20.05,3.4,22.2,93.5
3678,18,5.6,0,0.54,19.18,3,20,93.5
3679,19,4.4,0,0.39,20.89,4.56,23.3,93.5
3680,20,4.4,0,0.34,21.44,4.84,22.2,93.5
3681,21,5.6,0,0.53,21.29,4.65,24.4,93.5
3682,22,4.4,0,0.5,21.62,4.6,21.1,93.5
3683,23,4.4,9.5,0.33,21.52,4.88,15.6,93.5
3684,24,2.2,0,0.28,20.8,4.97,13.3,93.5
3685,25,2.2,0,0.31,21.91,4.29,17.8,93.5
3686,26,3.3,0,0.38,20.91,4.34,21.1,93.5
3687,27,4.4,0,0.27,22.48,4.75,23.3,93.5
3688,28,4.4,0,0.33,20.48,4.82,24.4,93.5
3689,29,5.6,0,0.3,22.42,4.83,25.6,93.5
3690,30,6.7,0,0.33,22.03,4.21,25,93.5
3691,31,7.2,0,0.35,22.66,4.64,27.8,93.2
3692,1,6.1,0,0.32,23.08,4.68,25.6,90.7
3693,2,5.6,0,0.31,22.9,4.31,25,90.7
3694,3,5.6,0,0.53,15.53,4.04,23.9,86.4
3695,4,4.4,0,0.34,23.02,3.86,24.4,85
3696,5,5,0,0.3,23.85,4.87,22.8,85
3697,6,4.4,0,0.3,23.91,4.35,21.7,82.5
3698,7,5,0,0.32,23.97,4.82,23.3,79.3
3699,8,4.4,0,0.31,24.14,4.31,23.9,79.6
3700,9,5.6,0,0.38,21.11,4.08,24.4,82.2
3701,10,5,0,0.69,5.79,3.74,25.6,82.2
3702,11,5.6,0,0.49,19.49,3.27,24.4,82.2
3703,12,4.4,0,0.45,21.29,3.65,23.3,82.2
3704,13,5.6,0,0.34,25.03,4.69,24.4,82.2
3705,14,4.4,0,0.33,25.15,4.39,25.6,82.2
3706,15,8.9,13.2,0.37,24.86,4.4,17.8,82.5
3707,16,8.9,0,0.36,25.35,4.53,22.2,85
3708,17,7.8,0,0.27,25.58,4.84,21.1,85
3709,18,6.7,1,0.65,19.1,3.69,20,85
3710,19,7.8,0,0.59,15.31,4.61,25.6,85
3711,20,8.9,0,0.55,15.6,4.07,27.8,85
3712,21,6.7,4,0.44,22.05,4.47,20,85
3713,22,7.8,0,0.43,24.67,3.44,22.2,85
3714,23,10,0,0.43,26.04,4,25.6,85
3715,24,8.9,4.5,0.36,25.95,4.6,24.4,85
3716,25,13.3,0,0.33,26.2,4.3,22.2,85
3717,26,10,3.5,0.41,21.16,4.77,20,85.3
3718,27,6.1,0,0.32,26.9,4.53,15.6,87.9
3719,28,6.7,0,0.3,27.17,4.23,23.9,87.9
3720,29,,,,,,,
3721,1,5.6,0,0.28,27.03,4.13,22.8,87.9
3722,2,6.1,0,0.27,26.22,3.96,23.3,87.9
3723,3,6.7,0,0.35,18.11,4.52,26.7,87.9
3724,4,7.8,0,0.3,26.72,3.85,25.6,87.9
3725,5,6.7,0,0.44,15.23,4.68,25,87.9
3726,6,8.9,0,0.46,17.94,2.94,26.7,82.5
3727,7,10,0,0.54,22.57,3.41,26.1,82.2
3728,8,7.8,0,0.5,25.19,3.21,24.4,82.2
3729,9,8.9,0,0.57,22.87,3.23,25,82.2
3730,10,8.9,0,0.75,12,2.7,25.6,82.2
3731,11,10,0,0.54,27.64,3.4,25,82.2
3732,12,10.6,0,0.62,22.1,3.18,27.8,82.2
3733,13,12.2,0,0.53,23.31,3.51,27.8,82.2
3734,14,10,8,0.35,29.37,4.31,21.1,82.2
3735,15,11.1,0,0.33,29.16,5.27,21.7,82.2
3736,16,8.9,0,0.24,29.4,4.53,23.3,82.2
3737,17,8.9,0,0.4,25.77,4.29,26.7,82.5
3738,18,11.1,0,0.34,28.97,3.77,28.9,85
3739,19,12.2,0,0.32,28.9,4.5,28.9,85
3740,20,14.4,0,0.31,28.99,4.37,27.8,85
3741,21,10,11.5,0.3,23.41,4.36,18.9,85.3
3742,22,10.6,1.4,0.26,29.95,4.74,20,87.9
3743,23,6.7,17.5,0.24,29.91,4.65,23.3,88.2
3744,24,6.7,0,0.32,26.54,3.92,25.6,93.5
3745,25,10,0,0.32,29.51,4.07,26.7,93.3
3746,26,11.1,0,0.29,29.77,4.75,27.8,90.7
3747,27,12.2,0,0.33,29.84,4.93,30,90.7
3748,28,13.3,0,0.28,29.94,5.27,31.1,91
3749,29,8.9,37,0.26,29.96,4.95,24.4,95.8
3750,30,7.8,17.5,0.25,30.08,4.69,13.3,111.7
3751,31,10,0.3,0.36,27.98,5.29,16.7,98.9
3752,1,9.4,0,0.32,30.45,5.4,26.7,96.7
3753,2,10,0,0.23,30.88,6.2,27.8,99.2
3754,3,10.6,0,0.23,31.08,4.68,27.2,99.2
3755,4,12.8,0.7,0.26,30.75,5.43,26.7,99.5
3756,5,11.1,0,0.27,30.58,4.68,26.1,102
3757,6,12.2,0,0.29,30.6,4.33,30,102.3
3758,7,11.7,0,0.33,30.24,3.88,31.1,104.3
3759,8,14.4,0,0.35,30.59,4.03,32.2,99.2
3760,9,12.2,0,0.38,27.75,4.49,31.1,100.9
3761,10,14.4,0,0.33,30.46,4.67,30.6,113.4
3762,11,15.6,0,0.43,30.29,3.16,27.9,112.8
3763,12,14.4,0.5,0.62,28.57,2.89,31.1,107.4
3764,13,12.8,1,0.48,30.1,3.22,25.6,104.9
3765,14,13.3,2.5,0.39,30.15,4.45,25,105.2
3766,15,12.2,8.5,0.28,31.72,5,18.9,107.7
3767,16,14.4,0,0.22,32.08,5.13,26.7,107.7
3768,17,13.3,0,0.19,32.01,4.85,24.4,108
3769,18,13.9,5.2,0.21,31.63,4.02,21.1,110.8
3770,19,13.9,0,0.27,28.34,3.41,25.6,113.4
3771,20,12.8,6,0.29,31.52,3.59,27.8,113.1
3772,21,11.1,8,0.36,31.43,3.11,26.7,110.8
3773,22,12.2,0,0.41,30.47,3.5,28.9,113.4
3774,23,14.4,0,0.36,31.17,3.89,30,113.4
3775,24,15.6,0,0.39,29.97,3.47,33.3,113.7
3776,25,16.7,0,0.46,28.88,2.76,33.9,116.8
3777,26,16.7,0,0.46,25.9,2.79,32.2,122.4
3778,27,17.8,1,0.47,28.82,2.21,33.8,127.8
3779,28,16.7,0.5,0.4,31.01,2.95,34.4,130.7
3780,29,13.3,0.5,0.4,28.82,3.43,26.7,132.4
3781,30,14.4,0,0.39,26.54,3.71,35.6,124.4
3782,1,17.8,0,0.42,30.11,2.97,36.7,123
3783,2,16.7,0,0.55,24.91,2.95,34.4,134.4
3784,3,18.9,0,0.49,30.79,4.06,35,144.6
3785,4,16.7,0,0.47,31.12,3.19,34.4,144.6
3786,5,16.7,0,0.59,29.08,2.79,35,145.8
3787,6,18.3,0,0.58,23.88,2.24,35.6,162.4
3788,7,16.1,3.2,0.59,25.64,2.42,35,201.5
3789,8,17.2,0.6,0.64,27.11,2.48,37.2,200.3
3790,9,17.2,0,0.58,29.2,2.05,35.6,211.3
3791,10,17.8,0,0.49,30.92,2.99,38.3,211.3
3792,11,20,0,0.35,31.71,3.38,38.3,221.5
3793,12,21.1,0,0.41,31.56,3.36,40.6,247.7
3794,13,21.7,0,0.4,31.27,3.25,37.8,276.6
3795,14,24.4,0,0.42,31.2,2.99,34.4,307.3
3796,15,20,0,0.45,31.32,2.95,35.6,327.7
3797,16,21.1,13,0.52,29.06,2.25,33.9,310.1
3798,17,16.7,5.5,0.6,29.43,2.14,30,236.4
3799,18,15.6,2,0.59,30.43,2.37,31.1,199
3800,19,16.7,0,0.58,30.56,2.85,28.9,187.5
3801,20,18.9,0,0.47,28.93,3.72,34.4,193
3802,21,16.7,0.5,0.41,31.52,3.92,32.2,194.3
3803,22,15.6,2.2,0.46,31.31,3.45,33.3,179
3804,23,16.7,14,0.56,30.38,3.43,32.2,169.6
3805,24,15.6,0,0.6,29.86,3.05,33,196
3806,25,15.6,0,0.55,29.72,2.94,35.6,224.9
3807,26,20,0,0.47,30.3,2.98,37.2,239.8
3808,27,20,0,0.59,30.25,2.47,36.7,236.4
3809,28,20.6,14,0.59,29.22,2.51,36.1,221.1
3810,29,17.8,9.5,0.52,30.26,2.55,30.6,239.8
3811,30,20,0,0.56,26.73,2.06,31.1,248.9
3812,31,21.1,2.2,0.65,24.73,2.38,32.2,211.3
3813,1,20,0,0.64,22.95,1.86,34.4,229.6
3814,2,21.7,6.5,0.8,22.89,2.41,33.3,310.7
3815,3,21.1,0,0.78,18.48,1.78,32.2,378.1
3816,4,20,4,0.76,8.67,1.39,31.1,445
3817,5,18.9,0,0.78,25.24,2.16,30,375.3
3818,6,16.7,1,0.82,18.78,1.67,24.4,297.6
3819,7,18.9,0,0.78,22.35,2.07,33.3,239.2
3820,8,17.8,0,0.81,20.04,2.11,32.2,221.9
3821,9,18.9,0,0.68,14.56,2.26,34.4,235.3
3822,10,16.1,0.5,0.67,30.02,2.05,33.3,273.2
3823,11,22.2,0,0.69,27.68,2.41,34.4,287.4
3824,12,23.3,0,0.73,26.38,2.67,35.6,339.6
3825,13,21.1,3.5,0.86,21.28,2.4,34.4,398
3826,14,19.4,7.5,0.83,18.62,2.25,34.4,476.2
3827,15,21.1,5.7,0.78,11.75,1.66,31.1,518.7
3828,16,20,2,0.68,20.84,2.3,32.2,494.6
3829,17,21.1,2.5,0.68,29,2.23,31.1,484.7
3830,18,21.1,1,0.74,26.59,2.16,30,447.1
3831,19,22.2,0,0.78,20.51,2.04,34.4,401.9
3832,20,21.1,0,0.71,24.5,2.55,35.6,345.2
3833,21,22.2,0,0.75,15.14,1.94,34.4,378.7
3834,22,23.3,0,0.52,10.36,2.76,35.6,396.3
3835,23,23.3,0,0.62,29.7,2.42,35.6,399.7
3836,24,20,0,0.62,29.7,2.36,27.8,386.6
3837,25,20,5,0.63,28.39,2.6,26.7,360.5
3838,26,21.1,9,0.7,12.85,1.98,34.4,357.7
3839,27,20,7.5,0.71,25.1,2.29,32.8,381
3840,28,21.1,0.5,0.76,17.2,1.85,34.4,396.3
3841,29,24.4,0,0.81,14.34,2.05,35.6,399.7
3842,30,26.7,0,0.77,17.56,2.18,36.7,435.1
3843,1,22.2,1.5,0.76,14.48,1.78,33.3,457.8
3844,2,23.3,0,0.71,23.96,2.59,35.6,492.5
3845,3,24.4,0.5,0.61,26.35,2.55,36.7,517.3
3846,4,23.3,0,0.61,27.89,2.52,30,522.3
3847,5,21.1,0.5,0.66,27.91,2.52,36.7,465.6
3848,6,23.3,2.5,0.85,14.94,2.05,35.6,473.4
3849,7,23.9,0.5,0.81,8.54,1.74,36.1,554.1
3850,8,22.8,2.5,0.74,25.23,1.91,32.8,612.2
3851,9,21.1,3.5,0.72,26.92,2.38,35.6,595.9
3852,10,22.2,1,0.69,26.91,2.23,34.4,588.9
3853,11,21.7,5.5,0.7,26.87,2.4,35,631.2
3854,12,22.2,2.5,0.69,26.87,2.15,32.2,646.5
3855,13,22.2,2.8,0.7,24.56,2.29,33.3,665.2
3856,14,21.1,0,0.66,25.9,2.12,34.4,709.3
3857,15,23.3,1,0.66,19.73,2.55,32.2,668.7
3858,16,22.2,0,0.68,25.12,2.43,33.3,603
3859,17,20,13,0.61,27.03,2.5,28.9,589.6
3860,18,21.1,4.5,0.57,25.88,2.84,32.2,582.5
3861,19,23.3,0,0.58,26.2,2.64,34.4,498.9
3862,20,24.4,2,0.49,25.71,3.04,35.6,533.6
3863,21,23.3,1.3,0.52,26.65,2.73,35,646.3
3864,22,22.2,9,0.48,26.68,3.02,32.2,691.6
3865,23,22.2,0,0.56,26.31,2.63,27.8,706.1
3866,24,22.8,0,0.52,25.96,2.73,32.2,664
3867,25,21.7,0,0.51,25.85,3,34.4,677.4
3868,26,23.3,0,0.5,26.05,2.49,36.1,685.2
3869,27,24.4,0,0.63,23.49,2.43,35.6,702.7
3870,28,22.8,0,0.63,25.44,2.34,36.1,676.7
3871,29,24.4,0,0.42,25.72,3.33,33.3,701
3872,30,21.1,1,0.52,25.31,2.76,32.2,642.7
3873,31,23.3,0.5,0.44,25.59,3.22,34.4,561.9
3874,1,23.3,0,0.4,25.59,3.01,35.6,523
3875,2,23.3,0,0.49,25.14,2.59,35,534.3
3876,3,23.3,0,0.46,24.97,3.05,36.1,565.5
3877,4,22.2,5,0.49,24.87,2.75,26.7,589.6
3878,5,22.2,0.5,0.41,24.76,3.39,28.9,564.1
3879,6,21.7,8,0.31,24.93,3.4,36.7,608.7
3880,7,21.1,3,0.36,24.42,3.39,27.8,659.7
3881,8,21.7,0,0.26,24.8,4.1,34.4,678.9
3882,9,21.1,18,0.31,24.36,3.22,35.6,637
3883,10,21.7,13.5,0.33,24.51,3.25,33.9,722.2
3884,11,22.2,9,0.34,24.36,3.2,33.3,698.4
3885,12,23.3,0.3,0.27,24.49,3.85,34.4,634.2
3886,13,22.2,4.2,0.28,24.32,3.37,31.1,651.2
3887,14,21.1,36,0.28,24.05,3.57,26.7,686.6
3888,15,22.2,0.7,0.19,24.2,4.07,27.2,856.2
3889,16,21.7,2,0.18,24.01,4.23,33.3,818.5
3890,17,23.3,0.5,0.19,23.85,4.05,34.4,760.5
3891,18,21.1,3.5,0.3,23.13,3.55,35.6,733.3
3892,19,23.3,0,0.26,23.31,3.53,34.4,654.8
3893,20,24.4,0,0.22,23.19,3.87,33.3,637
3894,21,23.3,0,0.26,22.91,4.06,34.4,628.5
3895,22,22.2,6.8,0.22,22.89,3.95,32.2,625.7
3896,23,21.1,0,0.36,17.63,3.1,33.3,624.3
3897,24,21.1,0,0.26,22.17,3.73,32.2,574.7
3898,25,22.2,0,0.3,22.23,3.27,34.4,518
3899,26,21.1,0,0.39,21.74,3.33,33.3,493.2
3900,27,23.3,0,0.38,21.78,3.24,34.4,507.4
3901,28,22.8,0,0.33,21.69,3.74,35,506.7
3902,29,23.3,0,0.25,21.96,3.84,33.3,520.8
3903,30,23.9,0,0.24,21.67,4.05,35.6,523
3904,31,23.3,1.2,0.3,21.29,3.4,33.3,514.5
3905,1,22.2,0,0.19,21.36,3.64,36.7,494.6
3906,2,20,0,0.15,21.38,3.69,34.4,457.1
3907,3,19.4,0,0.19,21.13,3.81,33.9,463.4
3908,4,20,13,0.25,20.76,4.02,33.3,468.4
3909,5,19.4,0,0.26,20.76,3.69,34.4,454.9
3910,6,18.9,0,0.22,20.64,3.96,35,391.9
3911,7,18.3,0,0.28,20.51,3.72,33.9,365.6
3912,8,18.9,0,0.21,20.5,3.98,34.4,358.6
3913,9,19.4,0,0.25,20.21,3.53,33.9,356.4
3914,10,20,1.5,0.2,20.1,3.74,33.3,361.4
3915,11,20,0,0.22,19.72,4.01,30,366.6
3916,12,19.4,0,0.21,19.62,3.42,35,323.8
3917,13,20,0,0.24,19.57,3.58,33.9,342.3
3918,14,17.8,0,0.2,19.63,3.65,34.4,292.7
3919,15,14.4,0,0.21,19.19,4.16,33.9,272.8
3920,16,15.6,0,0.21,19.28,3.88,32.2,239.2
3921,17,18.9,0,0.22,18.95,4.05,34.4,227.9
3922,18,16.7,0,0.21,18.89,3.82,33.3,208
3923,19,17.8,0,0.25,18.61,3.56,33.9,197.3
3924,20,16.7,0,0.21,18.66,3.14,34.4,199.5
3925,21,15.6,0,0.31,18.31,3.25,33.3,207.5
3926,22,17.8,0,0.32,17.96,3.23,34.4,207.5
3927,23,16.7,0,0.33,17.85,4.03,33.3,202.4
3928,24,17.8,0,0.28,17.81,3.71,32.2,203.5
3929,25,18.3,1.5,0.26,17.49,3.84,33.9,200.7
3930,26,18.9,0,0.41,14.9,3.62,31.1,194.4
3931,27,16.7,0,0.42,14.53,3.78,32.2,170.6
3932,28,15.6,0,0.42,16.69,3.91,35,158.2
3933,29,15.6,0,0.4,17.01,3.81,35.6,159.9
3934,30,16.1,0.5,0.3,17.38,4.36,35,158.7
3935,1,20,0,0.32,17.28,4.17,32.2,157.6
3936,2,17.8,0,0.25,17.24,4.1,33.3,150.2
3937,3,18.9,0,0.23,17.12,4.11,32.2,149.9
3938,4,18.3,0,0.24,16.75,3.94,33.9,147.4
3939,5,14.4,0,0.28,16.87,4.36,32.2,147.4
3940,6,15.6,0,0.26,16.66,4.68,32.8,147.4
3941,7,16.7,0,0.27,16.72,4.16,31.1,147.1
3942,8,16.1,0,0.17,16.82,3.8,34.4,144.6
3943,9,16.7,0,0.08,16.7,3.85,33.9,144.6
3944,10,16.1,0,0.23,16.56,4.45,33.3,144.3
3945,11,16.7,0,0.23,16.19,4.46,32.2,141.7
3946,12,15.6,0,0.27,16.08,3.62,31.1,141.7
3947,13,13.3,0,0.2,16.07,3.29,32.2,141.4
3948,14,13.3,0,0.14,16.04,3.63,31.1,138.6
3949,15,13.3,0,0.17,16.06,4.52,30,136.1
3950,16,14.4,0,0.18,15.87,5.04,31.1,136.1
3951,17,13.3,0,0.26,15.82,3.95,30,135.8
3952,18,12.8,0,0.2,15.59,4.17,29.4,133.2
3953,19,12.2,0,0.17,15.52,3.69,30.6,133.2
3954,20,13.3,0,0.22,15.29,4.14,31.7,132.9
3955,21,13.3,0,0.16,15.02,3.55,31.1,130.4
3956,22,12.2,0,0.17,15.11,4.06,30,130.4
3957,23,13.3,0,0.14,15.25,3.81,32.2,130.1
3958,24,12.2,0,0.18,13.9,3.78,31.1,127.6
3959,25,13.3,0,0.23,14.6,3.85,32.2,127.6
3960,26,13.3,0,0.33,11.49,3.14,30,127.6
3961,27,14.4,0,0.29,14.55,3.82,31.1,127.6
3962,28,14.4,0,0.28,14.74,3.81,30,127.6
3963,29,13.3,0,0.3,14.46,3.27,31.1,127.6
3964,30,13.3,0,0.36,14.13,3.44,30,127.6
3965,31,13.3,0,0.35,14.41,4.18,28.9,127.6
3966,1,12.2,0,0.21,14.43,3.95,30,127.6
3967,2,13.3,0,0.35,14.32,3.37,31.1,127.6
3968,3,14.4,0,0.46,13.3,3.5,28.3,127.6
3969,4,12.2,26,0.27,14.31,4.01,25.6,127.6
3970,5,11.1,0,0.39,13.76,3.03,22.2,127.6
3971,6,11.1,0,0.66,8.86,2.23,27.8,127.6
3972,7,8.9,0,0.68,3.13,4.02,21.1,127.6
3973,8,8.3,0,0.43,13.93,4.26,24.4,127.6
3974,9,8.9,0,0.44,13.81,3.17,26.7,127.3
3975,10,7.8,0,0.63,12.16,2,27.2,124.7
3976,11,7.2,0,0.55,12.54,5.44,27.8,124.7
3977,12,8.9,0,0.42,14.4,5.28,26.7,124.7
3978,13,8.3,0,0.57,14.27,4.87,27.2,124.4
3979,14,7.8,0,0.55,14.2,4.44,29.4,121.9
3980,15,8.9,0,0.45,14.08,4.72,30,121.9
3981,16,8.9,0,0.44,14.12,4.61,28.3,115.4
3982,17,8.3,0,0.47,14.08,4.73,26.7,113.4
3983,18,7.8,0,0.48,13.86,4.77,27.2,112.5
3984,19,8.9,0,0.51,14.3,5.08,26.7,110.5
3985,20,7.8,0,0.52,14.37,4.78,27.8,110.5
3986,21,8.9,0,0.5,14.3,4.31,25.6,105.7
3987,22,10,0,0.5,14.18,5.38,26.7,104.9
3988,23,8.9,0,0.52,0.09,6.83,24.4,104.9
3989,24,10,0,0.48,14.36,4.37,25.6,104.9
3990,25,8.9,0,0.51,14.22,4.78,27.2,104.9
3991,26,7.8,0,0.53,14.36,3.93,24.4,104.9
3992,27,6.7,0,0.53,14.26,3.55,25.6,101.5
3993,28,7.8,0,0.48,14.4,3.87,23.3,98.6
3994,29,8.9,0,0.49,14.16,3.73,24.4,93.5
3995,30,6.7,0,0.43,14.5,4.12,22.2,93.5
3996,1,5.6,0,0.41,14.69,5.28,24.4,93.5
3997,2,5.6,0,0.42,14.91,4.01,22.2,93.5
3998,3,6.7,0,0.41,11.59,4,23.3,93.5
3999,4,7.2,0,0.48,14.82,4.56,22.2,91.3
4000,5,7.8,0,0.49,14.82,3.29,25.6,90.7
4001,6,6.7,0,0.67,5.07,2.73,25,90.7
4002,7,6.1,0,0.66,6.04,2.97,22.8,90.1
4003,8,6.7,0,0.75,3.22,3.22,23.9,87.9
4004,9,6.7,0,0.5,15.01,4.12,24.4,87.9
4005,10,4.4,0,0.51,15.09,3.75,20,87.9
4006,11,6.7,0,0.61,12.13,3.82,22.2,85.6
4007,12,6.7,0,0.57,14.14,4.25,18.9,85
4008,13,5.6,0,0.52,15.38,4.99,21.1,85
4009,14,7.8,0,0.66,16.17,5.42,22.2,85
4010,15,7.2,6.5,0.67,15.97,4.83,18.9,85
4011,16,4.4,13,0.67,16.1,4.24,10,85
4012,17,2.8,0,0.65,16.19,3.95,15.6,85
4013,18,5.6,0,0.72,15.84,2.81,17.8,85
4014,19,5.6,12,0.74,13.3,2.34,18.3,85
4015,20,4.4,0,0.78,5.22,3.52,12.2,84.5
4016,21,4.4,0,0.65,16.61,4.78,20,82.2
4017,22,5,0,0.63,16.58,4.34,22.2,82.2
4018,23,5.6,0,0.57,16.95,4.47,24.4,82.2
4019,24,4.4,0,0.53,17.09,4.22,23.3,82.2
4020,25,5.6,0,0.39,17.14,3.71,22.2,82.2
4021,26,4.4,0,0.39,17.2,4.44,21.1,82.2
4022,27,3.3,0,0.39,17.79,5.62,14.4,82.2
4023,28,4.4,0,0.31,15.61,3.98,20,82.2
4024,29,3.3,0,0.49,15.65,2.71,21.1,82.2
4025,30,3.3,0,0.66,8.91,4,22.2,82.2
4026,31,3.3,0,0.9,6.89,4.36,21.1,82.2
4027,1,4.4,0,0.91,12.06,2.96,22.5,82.2
4028,2,3.3,0,0.85,9.71,4.96,21,82.2
4029,3,3.2,0,0.72,18.05,5.13,26,82.1
4030,4,3.3,0,0.87,14.9,1.72,21.1,81.5
4031,5,3.3,0,0.78,6.99,4.88,20,81.5
4032,6,2.8,0,0.68,18.68,4.27,18.9,81.5
4033,7,4.4,0,0.59,18.92,4.57,21.1,81.4
4034,8,3.9,0,0.62,18.5,3.55,19.4,80.8
4035,9,4.4,0,0.56,17.71,4.06,22.2,80.8
4036,10,4.4,0,0.57,14.88,4.88,20.6,80.7
4037,11,3.3,0,0.49,19.56,4.71,23.3,80.7
4038,12,5,0,0.49,19.67,4.09,22.2,71.6
4039,13,4.4,0,0.54,12.07,3.21,24.4,80.1
4040,14,7.2,7,0.54,18.27,3.83,18.9,79.7
4041,15,5.6,8.5,0.75,5.63,3.99,11.1,76.5
4042,16,5.6,8,0.56,10.64,4.26,14.4,76.5
